ID,Organizations,Organization,Source_Type,P1,P2,Total_Annual,Flow,Disbursement_Type,Parish,Receiving_Type,Parish Source_Type,fips
1953,Asset Forfeiture,St. Landry Parish Sheriff,Asset Forfeiture/Sale,60323,32453,92776,more,NAN,stlandry,Parish Sheriff,stlandry Asset Forfeiture/Sale,22097
1954,Interest Earnings on Collected Balances,St. Landry Parish Sheriff,Interest,2951,3343,6294,more,NAN,stlandry,Parish Sheriff,stlandry Interest,22097
1955,Criminal Court Costs/Fees - St Landry Parish Sheriff,St. Landry Parish Sheriff,Criminal Court Costs/Fees - St Landry Parish Sheriff,58495,73686,132181,receipts,NAN,stlandry,Parish Sheriff,Criminal Court Costs/Fees - St Landry Parish Sheriff,22097
1956,Criminal Fines (Other) - St. Landry Parish Sheriff,St. Landry Parish Sheriff,Criminal Fines (Other) - St. Landry Parish Sheriff,83579,110689,194268,receipts,NAN,stlandry,Parish Sheriff,Criminal Fines (Other) - St. Landry Parish Sheriff,22097
1957,Bond Fees - St. Lmdry Parish Sheriff,St. Landry Parish Sheriff,Bond Fees - St. Lmdry Parish Sheriff,39427,44108,83535,receipts,NAN,stlandry,Parish Sheriff,Bond Fees - St. Lmdry Parish Sheriff,22097
1958,Civil Fees - St. Landry Parish Sheriff,St. Landry Parish Sheriff,Civil Fees - St. Landry Parish Sheriff,187337,248717,436054,receipts,NAN,stlandry,Parish Sheriff,Civil Fees - St. Landry Parish Sheriff,22097
1959,ACADIANA CRIME LAB/BOND FEES,Acadiana Criminalistics Lab,Bond Fees,944,1006,1950,less,Disbursements to governments & nonprofits,stmartin,Crime Labs,stmartin Bond Fees,22099
1960,ACADIANA CRIME LAB/CRIMINAL COURT COSTS/FEES,Acadiana Criminalistics Lab,Criminal Court Costs/Fees,44485,72895,117380,less,Disbursements to governments & nonprofits,stmartin,Crime Labs,stmartin Criminal Court Costs/Fees,22099
1961,CRIME STOPPERS/CRIMINAL COURT COSTS/FEES,St. Martin Crime Stoppers,Criminal Court Costs/Fees,2796,4586,7382,less,Disbursements to governments & nonprofits,stmartin,Crimestoppers Organizations,stmartin Criminal Court Costs/Fees,22099
1962,16TH JUDICIAL DISTRICT ATTORNEY/CRIMINAL FINES-CONTEMPT,16th Judicial District Attorney,Criminal Fines - Contempt,18500,21650,40150,less,Disbursements to governments & nonprofits,stmartin,District Courts,stmartin Criminal Fines - Contempt,22099
1963,DEPARTMENT OF SOCIAL SERVICES/OTHER,Department of Social Services,Other,2500,7700,10200,less,Disbursements to governments & nonprofits,stmartin,Miscellaneous,stmartin Other,22099
1964,16TH JUDICIAL DISTRICT ATTORNEY/BOND FEES,16th Judicial District Attorney,Bond Fees,60360,66606,126966,less,Disbursements to governments & nonprofits,stmartin,District Courts,stmartin Bond Fees,22099
1965,16TH JUDICIAL DISTRICT ATTORNEY/CRIMINAL COURT COSTS/FEES,16th Judicial District Attorney,Criminal Court Costs/Fees,112369,178574,290943,less,Disbursements to governments & nonprofits,stmartin,District Courts,stmartin Criminal Court Costs/Fees,22099
1966,16TH JUDICIAL DISTRICT ATTORNEY/CRIMINAL FINES-OTHER,16th Judicial District Attorney,Criminal Fines - Other,88471,140764,229235,less,Disbursements to governments & nonprofits,stmartin,District Courts,stmartin Criminal Fines - Other,22099
1967,16TH JUDICIAL DISTRICT ATTORNEY/INTEREST EARNINGS ON COLLECTED BALANCES,16th Judicial District Attorney,Interest,3343,0,3343,less,Disbursements to governments & nonprofits,stmartin,District Courts,stmartin Interest,22099
1968,16TH JUDICIAL DISTRICT INDIGENT DEFENDER BOARD/BOND FEES,16th Judicial District Indigent Defender Board,Bond Fees,26640,29530,56170,less,Disbursements to governments & nonprofits,stmartin,District Indigent/Public Defense,stmartin Bond Fees,22099
1969,16TH JUDICIAL DISTRICT INDIGENT DEFENDER BOARD/CRIMINAL COURT COSTS/FEES,16th Judicial District Indigent Defender Board,Criminal Court Costs/Fees,62884,103797,166681,less,Disbursements to governments & nonprofits,stmartin,District Indigent/Public Defense,stmartin Criminal Court Costs/Fees,22099
1970,LA DEPT OF PUBLIC SAFETY/CRIMINAL COURT COSTS/FEES,Louisiana Department of Public Safety,Criminal Court Costs/Fees,1812,2043,3855,less,Disbursements to governments & nonprofits,stmartin,Public Safety (Parish and/or State),stmartin Criminal Court Costs/Fees,22099
1971,LDHH TRAUMATIC HEAD & SPNIAL CORD INJURY TRUST/CRIMINAL COURT COSTS/FEES,Traumatic Head and Spinal Chord Injury Trust Fund,Criminal Court Costs/Fees,5595,9129,14724,less,Disbursements to governments & nonprofits,stmartin,Traumatic Head and Spinal Chord Injury Trust Fund,stmartin Criminal Court Costs/Fees,22099
1972,LOUISIANA COMMISSION ON LAW ENFORCEMENT/CRIMINAL COURT COSTS/FEES,Louisiana Commission on Law Enforcement,Criminal Court Costs/Fees,4631,7469,12100,less,Disbursements to governments & nonprofits,stmartin,Louisiana Commission on Law Enforcement,stmartin Criminal Court Costs/Fees,22099
1973,LOUISIANA DEPARTMENT OF WILDLIFE & FISHERIES/CRIMINAL COURT COSTS/FEES,Louisiana Department of Wildlife and Fisheries,Criminal Court Costs/Fees,30,20,50,less,Disbursements to governments & nonprofits,stmartin,Louisiana Department of Wildlife and Fisheries,stmartin Criminal Court Costs/Fees,22099
1974,LOUISIANA SUPREME COURT/CRIMINAL COURT COSTS/FEES,Louisiana Supreme Court,Criminal Court Costs/Fees,699,1146,1845,less,Disbursements to governments & nonprofits,stmartin,Louisiana Supreme Court,stmartin Criminal Court Costs/Fees,22099
1975,ST MARTIN PARISH CLERK OF COURT/ASSET FORFEITURE FEES,St. Martin Parish Clerk of Court,Asset Forfeiture/Sale,84029,48131,132160,less,Disbursements to governments & nonprofits,stmartin,Parish Clerk of Court,stmartin Asset Forfeiture/Sale,22099
1976,ST MARTIN PARISH CLERK OF COURT/BOND FEES,St. Martin Parish Clerk of Court,Bond Fees,944,1006,1950,less,Disbursements to governments & nonprofits,stmartin,Parish Clerk of Court,stmartin Bond Fees,22099
1977,ST MARTIN PARISH CLERK OF COURT/CRIMINAL COURT COSTS/FEES,St. Martin Parish Clerk of Court,Criminal Court Costs/Fees,23190,37496,60686,less,Disbursements to governments & nonprofits,stmartin,Parish Clerk of Court,stmartin Criminal Court Costs/Fees,22099
1978,ST MARTIN PARISH GOVERNMENT/CRIMINAL COURT COSTS/FEES,St. Martin Parish Clerk of Court,Criminal Court Costs/Fees,104841,172426,277267,less,Disbursements to governments & nonprofits,stmartin,Parish Clerk of Court,stmartin Criminal Court Costs/Fees,22099
1979,"STATE OF LOUISIANA, TREASURER/CRIMINAL COURT COSTS/FEES",State of Louisiana Treasurer,Criminal Court Costs/Fees,4199,6907,11106,less,Disbursements to governments & nonprofits,stmartin,Louisiana State Treasury,stmartin Criminal Court Costs/Fees,22099
1980,Collection Fee for Collecting/Disbursing to Others Based on Percentage of Collection,Collecting Agency,Unspecified,61809,71213,133022,less,Amounts retained by collection agency,stmartin,Collections/Processing,stmartin Unspecified,22099
1981,Collection Fee for Collecting/Disbursing to Others Based on Fixed Amount,Collecting Agency,Unspecified,0,300,300,less,Amounts retained by collection agency,stmartin,Collections/Processing,stmartin Unspecified,22099
1982,Bond Fees,Collecting Agency,Bond Fees,37907,42243,80150,less,Amounts retained by collection agency,stmartin,Collections/Processing,stmartin Bond Fees,22099
1983,Criminal Court Costs/Fees,Collecting Agency,Criminal Court Costs/Fees,23420,36817,60237,less,Amounts retained by collection agency,stmartin,Collections/Processing,stmartin Criminal Court Costs/Fees,22099
1984,Criminal Fines - Other,Collecting Agency,Criminal Fines - Other,12064,19195,31259,less,Amounts retained by collection agency,stmartin,Collections/Processing,stmartin Criminal Fines - Other,22099
1985,Interest Earnings on Collected Balances,Collecting Agency,Interest,456,0,456,less,Amounts retained by collection agency,stmartin,Collections/Processing,stmartin Interest,22099
1986,Civil Fee Refunds,Individuals - Civil Fee Refunds,Unspecified,0,0,0,less,Disbursements to individuals/3rd party collection or processing agencies,stmartin,Individuals - Specified,stmartin Unspecified,22099
1987,Bond Fee Refunds,Individuals - Bond Fee Refunds,Unspecified,0,0,0,less,Disbursements to individuals/3rd party collection or processing agencies,stmartin,Individuals - Specified,stmartin Unspecified,22099
1988,Restitution Payments to Individuals (additional detail is not required),Individuals - Restitution,Unspecified,0,0,0,less,Disbursements to individuals/3rd party collection or processing agencies,stmartin,Individuals - Specified,stmartin Unspecified,22099
1989,Other Disbursements to Individuals (additional detail is not required),Individuals - Other,Unspecified,749677,255517,1005194,less,Disbursements to individuals/3rd party collection or processing agencies,stmartin,Individuals - Unspecified Other,stmartin Unspecified,22099
1990,Payments to 3rd Party Collection/Processing Agencies,3rd Party Collection/Processing Agencies,Unspecified,0,0,0,less,Disbursements to individuals/3rd party collection or processing agencies,stmartin,Collections/Processing,stmartin Unspecified,22099
1991,Civil Fees (including refundable amounts such as garnishments or advance deposits),St. Martin Parish Sheriff,Civil Fees,80181,75318,155499,more,NAN,stmartin,Parish Sheriff,stmartin Civil Fees,22099
1992,Bond Fees,St. Martin Parish Sheriff,Bond Fees,126794,140391,267185,more,NAN,stmartin,Parish Sheriff,stmartin Bond Fees,22099
1993,Asset Forfeiture/Sale,St. Martin Parish Sheriff,Asset Forfeiture/Sale,816380,293779,1110159,more,NAN,stmartin,Parish Sheriff,stmartin Asset Forfeiture/Sale,22099
1994,Pre-Trial Diversion Program Fees,St. Martin Parish Sheriff,Pre-Trial Diversion Fees,0,0,0,more,NAN,stmartin,Parish Sheriff,stmartin Pre-Trial Diversion Fees,22099
1995,Criminal Court Costs/Fees,St. Martin Parish Sheriff,Criminal Court Costs/Fees,446410,620113,1066523,more,NAN,stmartin,Parish Sheriff,stmartin Criminal Court Costs/Fees,22099
1996,Criminal Fines - Contempt,St. Martin Parish Sheriff,Criminal Fines - Contempt,16500,26800,43300,more,NAN,stmartin,Parish Sheriff,stmartin Criminal Fines - Contempt,22099
1997,Criminal Fines - Other,St. Martin Parish Sheriff,Criminal Fines - Other,114744,154211,268955,more,NAN,stmartin,Parish Sheriff,stmartin Criminal Fines - Other,22099
1998,Restitution,St. Martin Parish Sheriff,Restitution,0,0,0,more,NAN,stmartin,Parish Sheriff,stmartin Restitution,22099
1999,Probation/Parole/Supervision Fees,St. Martin Parish Sheriff,Probation/Parole/Supervision,0,0,0,more,NAN,stmartin,Parish Sheriff,stmartin Probation/Parole/Supervision,22099
2000,"Service/Collection Fees (e.g. credit card fees, report fees, 3rd party service fees)",St. Martin Parish Sheriff,"Service/Collection Fees (e.g. credit card fees, report fees, 3rd party service fees)",0,0,0,more,NAN,stmartin,Parish Sheriff,"stmartin Service/Collection Fees (e.g. credit card fees, report fees, 3rd party service fees)",22099
2001,Interest Earning on Collected Balances,St. Martin Parish Sheriff,Interest,155,50,205,more,NAN,stmartin,Parish Sheriff,stmartin Interest,22099
2002,Other (do not include collections that fit into more specific categories above),St. Martin Parish Sheriff,Other,21680,4250,25930,more,NAN,stmartin,Parish Sheriff,stmartin Other,22099
2003,LaSalle Parish Clerk of Court / Civil Fees ,St. Martin Parish Sheriff,LaSalle Parish Clerk of Court / Civil Fees ,47,0,47,receipts,NAN,stmartin,Parish Sheriff,LaSalle Parish Clerk of Court / Civil Fees ,22099
2004,Livingston Parish / Civil Fees ,St. Martin Parish Sheriff,Livingston Parish / Civil Fees ,50,0,50,receipts,NAN,stmartin,Parish Sheriff,Livingston Parish / Civil Fees ,22099
2005,Livingston Parish Clerk of Court / Civil Fees ,St. Martin Parish Sheriff,Livingston Parish Clerk of Court / Civil Fees ,30,14,44,receipts,NAN,stmartin,Parish Sheriff,Livingston Parish Clerk of Court / Civil Fees ,22099
2006,Monroe City Court / Civil Fees ,St. Martin Parish Sheriff,Monroe City Court / Civil Fees ,66,41,107,receipts,NAN,stmartin,Parish Sheriff,Monroe City Court / Civil Fees ,22099
2007,Morgan City City Court / Civil Fees ,St. Martin Parish Sheriff,Morgan City City Court / Civil Fees ,180,30,210,receipts,NAN,stmartin,Parish Sheriff,Morgan City City Court / Civil Fees ,22099
2008,New Iberia City Court / Civil Fees ,St. Martin Parish Sheriff,New Iberia City Court / Civil Fees ,679,862,1541,receipts,NAN,stmartin,Parish Sheriff,New Iberia City Court / Civil Fees ,22099
2009,Opelousas City Court / Civil Fees ,St. Martin Parish Sheriff,Opelousas City Court / Civil Fees ,136,143,279,receipts,NAN,stmartin,Parish Sheriff,Opelousas City Court / Civil Fees ,22099
2010,Orleans Parish Sheriff's Office / Civil Fees ,St. Martin Parish Sheriff,Orleans Parish Sheriff's Office / Civil Fees ,90,0,90,receipts,NAN,stmartin,Parish Sheriff,Orleans Parish Sheriff's Office / Civil Fees ,22099
2011,Plaquemines Parish Clerk of Court/ Civil Fees ,St. Martin Parish Sheriff,Plaquemines Parish Clerk of Court/ Civil Fees ,0,111,111,receipts,NAN,stmartin,Parish Sheriff,Plaquemines Parish Clerk of Court/ Civil Fees ,22099
2012,Point Coupee Parish Clerk of Court / Civil Fees ,St. Martin Parish Sheriff,Point Coupee Parish Clerk of Court / Civil Fees ,51,83,134,receipts,NAN,stmartin,Parish Sheriff,Point Coupee Parish Clerk of Court / Civil Fees ,22099
2013,Rapides Parish Clerk of Court / Civil Fees ,St. Martin Parish Sheriff,Rapides Parish Clerk of Court / Civil Fees ,0,88,88,receipts,NAN,stmartin,Parish Sheriff,Rapides Parish Clerk of Court / Civil Fees ,22099
2014,Richland County Clerk of Court / Civil Fees ,St. Martin Parish Sheriff,Richland County Clerk of Court / Civil Fees ,31,0,31,receipts,NAN,stmartin,Parish Sheriff,Richland County Clerk of Court / Civil Fees ,22099
2015,St. Bernard Clerk of Court / CivilFees ,St. Martin Parish Sheriff,St. Bernard Clerk of Court / CivilFees ,0,55,55,receipts,NAN,stmartin,Parish Sheriff,St. Bernard Clerk of Court / CivilFees ,22099
2016,St. Charles Parish Clerk of Court / Civil Fees ,St. Martin Parish Sheriff,St. Charles Parish Clerk of Court / Civil Fees ,51,83,134,receipts,NAN,stmartin,Parish Sheriff,St. Charles Parish Clerk of Court / Civil Fees ,22099
2017,St. John the Baptist Parish Clerk of Court / Civil Fees ,St. Martin Parish Sheriff,St. John the Baptist Parish Clerk of Court / Civil Fees ,46,0,46,receipts,NAN,stmartin,Parish Sheriff,St. John the Baptist Parish Clerk of Court / Civil Fees ,22099
2018,St. Landry Parish Clerk of Court / Civil Fees ,St. Martin Parish Sheriff,St. Landry Parish Clerk of Court / Civil Fees ,611,2541,3152,receipts,NAN,stmartin,Parish Sheriff,St. Landry Parish Clerk of Court / Civil Fees ,22099
2019,St. Martin Parish Clerk of Court / Civil Fees ,St. Martin Parish Sheriff,St. Martin Parish Clerk of Court / Civil Fees ,45820,58938,104758,receipts,NAN,stmartin,Parish Sheriff,St. Martin Parish Clerk of Court / Civil Fees ,22099
2020,St. Mary Parish Clerk of Court / Civil Fees ,St. Martin Parish Sheriff,St. Mary Parish Clerk of Court / Civil Fees ,952,579,1531,receipts,NAN,stmartin,Parish Sheriff,St. Mary Parish Clerk of Court / Civil Fees ,22099
2021,St. Mary Parish Sheriff's Office / Civil Fees ,St. Martin Parish Sheriff,St. Mary Parish Sheriff's Office / Civil Fees ,0,93,93,receipts,NAN,stmartin,Parish Sheriff,St. Mary Parish Sheriff's Office / Civil Fees ,22099
2022,St. Tammany City Court / Civil Fees ,St. Martin Parish Sheriff,St. Tammany City Court / Civil Fees ,0,25,25,receipts,NAN,stmartin,Parish Sheriff,St. Tammany City Court / Civil Fees ,22099
2023,St. Tammany Parish Clerk of Court / Civil Fees ,St. Martin Parish Sheriff,St. Tammany Parish Clerk of Court / Civil Fees ,0,154,154,receipts,NAN,stmartin,Parish Sheriff,St. Tammany Parish Clerk of Court / Civil Fees ,22099
2024,Terrebonne Parish Clerk ofCourt / Civil Fees ,St. Martin Parish Sheriff,Terrebonne Parish Clerk ofCourt / Civil Fees ,66,74,140,receipts,NAN,stmartin,Parish Sheriff,Terrebonne Parish Clerk ofCourt / Civil Fees ,22099
2025,Thibodaux City Court / Civil Fees ,St. Martin Parish Sheriff,Thibodaux City Court / Civil Fees ,0,41,41,receipts,NAN,stmartin,Parish Sheriff,Thibodaux City Court / Civil Fees ,22099
2026,Vermilion Parish Clerk of Court / Civil Fees ,St. Martin Parish Sheriff,Vermilion Parish Clerk of Court / Civil Fees ,652,275,927,receipts,NAN,stmartin,Parish Sheriff,Vermilion Parish Clerk of Court / Civil Fees ,22099
2027,West Baton Rouge Parish Clerk of Court/Civil Fees ,St. Martin Parish Sheriff,West Baton Rouge Parish Clerk of Court/Civil Fees ,171,158,329,receipts,NAN,stmartin,Parish Sheriff,West Baton Rouge Parish Clerk of Court/Civil Fees ,22099
2028,West Feliciana Parish Clerk of Court/Civil Fees ,St. Martin Parish Sheriff,West Feliciana Parish Clerk of Court/Civil Fees ,0,130,130,receipts,NAN,stmartin,Parish Sheriff,West Feliciana Parish Clerk of Court/Civil Fees ,22099
2029,I6th Judicial District Attorney /Asset Forfeiture/Sale ,St. Martin Parish Sheriff,I6th Judicial District Attorney /Asset Forfeiture/Sale ,4949,9551,14500,receipts,NAN,stmartin,Parish Sheriff,I6th Judicial District Attorney /Asset Forfeiture/Sale ,22099
2030,19th Judicial District Clerk of Court / Civil Fees ,St. Martin Parish Sheriff,19th Judicial District Clerk of Court / Civil Fees ,554,583,1137,receipts,NAN,stmartin,Parish Sheriff,19th Judicial District Clerk of Court / Civil Fees ,22099
2031,2nd Constable City Court / Civil Fees ,St. Martin Parish Sheriff,2nd Constable City Court / Civil Fees ,40,0,40,receipts,NAN,stmartin,Parish Sheriff,2nd Constable City Court / Civil Fees ,22099
2032,3rd Justice Court / Civil Fees ,St. Martin Parish Sheriff,3rd Justice Court / Civil Fees ,32,0,32,receipts,NAN,stmartin,Parish Sheriff,3rd Justice Court / Civil Fees ,22099
2033,Abbeville City Court / Civil Fees ,St. Martin Parish Sheriff,Abbeville City Court / Civil Fees ,10,0,10,receipts,NAN,stmartin,Parish Sheriff,Abbeville City Court / Civil Fees ,22099
2034,Acadia Parish Clerk of Court / Civil Fees ,St. Martin Parish Sheriff,Acadia Parish Clerk of Court / Civil Fees ,462,95,557,receipts,NAN,stmartin,Parish Sheriff,Acadia Parish Clerk of Court / Civil Fees ,22099
2035,Alexandria City Court / Civil Fees ,St. Martin Parish Sheriff,Alexandria City Court / Civil Fees ,53,0,53,receipts,NAN,stmartin,Parish Sheriff,Alexandria City Court / Civil Fees ,22099
2036,Ascension Parish Clerk of Court / Civil Fees ,St. Martin Parish Sheriff,Ascension Parish Clerk of Court / Civil Fees ,25,0,25,receipts,NAN,stmartin,Parish Sheriff,Ascension Parish Clerk of Court / Civil Fees ,22099
2037,Assumption Parish Clerk of Court / Civil Fees ,St. Martin Parish Sheriff,Assumption Parish Clerk of Court / Civil Fees ,0,108,108,receipts,NAN,stmartin,Parish Sheriff,Assumption Parish Clerk of Court / Civil Fees ,22099
2038,Avoyelles Parish Clerk of Court / Civil Fees ,St. Martin Parish Sheriff,Avoyelles Parish Clerk of Court / Civil Fees ,9,0,9,receipts,NAN,stmartin,Parish Sheriff,Avoyelles Parish Clerk of Court / Civil Fees ,22099
2039,Bossier Parish Clerk of Court / Civil Fees ,St. Martin Parish Sheriff,Bossier Parish Clerk of Court / Civil Fees ,0,83,83,receipts,NAN,stmartin,Parish Sheriff,Bossier Parish Clerk of Court / Civil Fees ,22099
2040,Bossier Parish District Court / Civil Fees ,St. Martin Parish Sheriff,Bossier Parish District Court / Civil Fees ,0,11,11,receipts,NAN,stmartin,Parish Sheriff,Bossier Parish District Court / Civil Fees ,22099
2041,Breaux Bridge City Court / Civil Fees ,St. Martin Parish Sheriff,Breaux Bridge City Court / Civil Fees ,53,417,470,receipts,NAN,stmartin,Parish Sheriff,Breaux Bridge City Court / Civil Fees ,22099
2042,Caddo Parish Clerk of Court / Civil Fees ,St. Martin Parish Sheriff,Caddo Parish Clerk of Court / Civil Fees ,0,48,48,receipts,NAN,stmartin,Parish Sheriff,Caddo Parish Clerk of Court / Civil Fees ,22099
2043,Calcasieu Parish Clerk of Court / Civil Fees ,St. Martin Parish Sheriff,Calcasieu Parish Clerk of Court / Civil Fees ,16,339,355,receipts,NAN,stmartin,Parish Sheriff,Calcasieu Parish Clerk of Court / Civil Fees ,22099
2044,Calcasieu Parish District Court / Civil Fees ,St. Martin Parish Sheriff,Calcasieu Parish District Court / Civil Fees ,43,0,43,receipts,NAN,stmartin,Parish Sheriff,Calcasieu Parish District Court / Civil Fees ,22099
2045,Cameron Parish Clerk of Court / Civil Fees ,St. Martin Parish Sheriff,Cameron Parish Clerk of Court / Civil Fees ,0,183,183,receipts,NAN,stmartin,Parish Sheriff,Cameron Parish Clerk of Court / Civil Fees ,22099
2046,City of Baton Rouge / Civil Fees ,St. Martin Parish Sheriff,City of Baton Rouge / Civil Fees ,37,294,331,receipts,NAN,stmartin,Parish Sheriff,City of Baton Rouge / Civil Fees ,22099
2047,Concordia Parish Clerk of Court / Civil Fees ,St. Martin Parish Sheriff,Concordia Parish Clerk of Court / Civil Fees ,0,35,35,receipts,NAN,stmartin,Parish Sheriff,Concordia Parish Clerk of Court / Civil Fees ,22099
2048,Crowley City Court / Civil Fees ,St. Martin Parish Sheriff,Crowley City Court / Civil Fees ,122,14,136,receipts,NAN,stmartin,Parish Sheriff,Crowley City Court / Civil Fees ,22099
2049,Denham Springs City Court / Civil Fees ,St. Martin Parish Sheriff,Denham Springs City Court / Civil Fees ,0,96,96,receipts,NAN,stmartin,Parish Sheriff,Denham Springs City Court / Civil Fees ,22099
2050,Evangeline Parish Clerk of Court / Civil Fees ,St. Martin Parish Sheriff,Evangeline Parish Clerk of Court / Civil Fees ,0,41,41,receipts,NAN,stmartin,Parish Sheriff,Evangeline Parish Clerk of Court / Civil Fees ,22099
2051,Franklin City Court / Civil Fees ,St. Martin Parish Sheriff,Franklin City Court / Civil Fees ,0,297,297,receipts,NAN,stmartin,Parish Sheriff,Franklin City Court / Civil Fees ,22099
2052,Franklin Parish Clerk of Court/ Civil Fees ,St. Martin Parish Sheriff,Franklin Parish Clerk of Court/ Civil Fees ,60,41,101,receipts,NAN,stmartin,Parish Sheriff,Franklin Parish Clerk of Court/ Civil Fees ,22099
2053,Houma City Court / Civil Fees ,St. Martin Parish Sheriff,Houma City Court / Civil Fees ,448,49,497,receipts,NAN,stmartin,Parish Sheriff,Houma City Court / Civil Fees ,22099
2054,Iberia Parish Clerk of Court / Civil Fees ,St. Martin Parish Sheriff,Iberia Parish Clerk of Court / Civil Fees ,1126,1326,2452,receipts,NAN,stmartin,Parish Sheriff,Iberia Parish Clerk of Court / Civil Fees ,22099
2055,Iberville Parish Clerk of Court / Civil Fees ,St. Martin Parish Sheriff,Iberville Parish Clerk of Court / Civil Fees ,35,124,159,receipts,NAN,stmartin,Parish Sheriff,Iberville Parish Clerk of Court / Civil Fees ,22099
2056,Jefferson Davis Parish Clerk of Court / Civil Fees ,St. Martin Parish Sheriff,Jefferson Davis Parish Clerk of Court / Civil Fees ,309,258,567,receipts,NAN,stmartin,Parish Sheriff,Jefferson Davis Parish Clerk of Court / Civil Fees ,22099
2057,Lafayette City Court / Civil Fees ,St. Martin Parish Sheriff,Lafayette City Court / Civil Fees ,894,2673,3567,receipts,NAN,stmartin,Parish Sheriff,Lafayette City Court / Civil Fees ,22099
2058,Lafayette Parish Clerk of Court / Civil Fees ,St. Martin Parish Sheriff,Lafayette Parish Clerk of Court / Civil Fees ,4068,7540,11608,receipts,NAN,stmartin,Parish Sheriff,Lafayette Parish Clerk of Court / Civil Fees ,22099
2059,Lafayette Parish Sheriffs Office / Civil Fees ,St. Martin Parish Sheriff,Lafayette Parish Sheriffs Office / Civil Fees ,0,178,178,receipts,NAN,stmartin,Parish Sheriff,Lafayette Parish Sheriffs Office / Civil Fees ,22099
2060,Lafourche Parish Clerk of Court / Civil Fees ,St. Martin Parish Sheriff,Lafourche Parish Clerk of Court / Civil Fees ,83,250,333,receipts,NAN,stmartin,Parish Sheriff,Lafourche Parish Clerk of Court / Civil Fees ,22099
2061,Lake Charles City Court / Civil Fees ,St. Martin Parish Sheriff,Lake Charles City Court / Civil Fees ,0,29,29,receipts,NAN,stmartin,Parish Sheriff,Lake Charles City Court / Civil Fees ,22099
2062,"16th Judicial District Attorney, Criminal Fines",16th Judicial District Attorney,Criminal Fines,35536,33839,69375,less,Disbursements to governments & nonprofits,stmary,District Courts,stmary Criminal Fines,22101
2063,"16th Judicial District Attorney, Cost",16th Judicial District Attorney,Cost,14334,13726,28060,less,Disbursements to governments & nonprofits,stmary,District Courts,stmary Cost,22101
2064,"16th Judicial District Attorney, Bond Fees",16th Judicial District Attorney,Bond Fees,36020,43858,79878,less,Disbursements to governments & nonprofits,stmary,District Courts,stmary Bond Fees,22101
2065,"Indigent Defender Board, Cost",St. Mary Indigent Defender Board,Cost,48793,47877,96670,less,Disbursements to governments & nonprofits,stmary,Parish Indigent/Public Defense,stmary Cost,22101
2066,"Indigent Defender Board, Bond Fees",St. Mary Indigent Defender Board,Bond Fees,32933,40705,73638,less,Disbursements to governments & nonprofits,stmary,Parish Indigent/Public Defense,stmary Bond Fees,22101
2067,"Acadiana Crime Lab, Cost",Acadiana Criminalistics Lab,Cost,39525,39371,78896,less,Disbursements to governments & nonprofits,stmary,Crime Labs,stmary Cost,22101
2068,"Acadiana Crime Lab, Bond Fees",Acadiana Criminalistics Lab,Bond Fees,1387,1373,2760,less,Disbursements to governments & nonprofits,stmary,Crime Labs,stmary Bond Fees,22101
2069,"Criminal Court Fund, Fines",St. Mary Criminal Court Fund,Fines,77841,71499,149340,less,Disbursements to governments & nonprofits,stmary,Misc. Funds,stmary Fines,22101
2070,"Criminal Court Fund, Cost",St. Mary Criminal Court Fund,Cost,44531,45285,89816,less,Disbursements to governments & nonprofits,stmary,Misc. Funds,stmary Cost,22101
2071,"St. Mary Parish Government, Cost",St. Mary Parish Government,Cost,79362,78365,157727,less,Disbursements to governments & nonprofits,stmary,Parish Government,stmary Cost,22101
2072,"St. Mary Parish Clerk of Court, Bond Fees",St. Mary Parish Clerk of Court,Bond Fees,1387,1373,2760,less,Disbursements to governments & nonprofits,stmary,Parish Clerk of Court,stmary Bond Fees,22101
2073,"St. Mary Parish Clerk of Court, Civil Fees",St. Mary Parish Clerk of Court,Civil Fees,6207,30548,36755,less,Disbursements to governments & nonprofits,stmary,Parish Clerk of Court,stmary Civil Fees,22101
2074,"Louisiana Commission on Law Enforcement, Cost",Louisiana Commission on Law Enforcement,Cost,8600,7855,16455,less,Disbursements to governments & nonprofits,stmary,Louisiana Commission on Law Enforcement,stmary Cost,22101
2075,"CMIS, Cost",State of Louisiana Treasury - CMIS,Cost,3253,3159,6412,less,Disbursements to governments & nonprofits,stmary,Louisiana State Treasury,stmary Cost,22101
2076,"Injury Trust Fund, Cost",Traumatic Head and Spinal Chord Injury Trust Fund,Cost,3461,3560,7021,less,Disbursements to governments & nonprofits,stmary,Traumatic Head and Spinal Chord Injury Trust Fund,stmary Cost,22101
2077,"Clerk of Court, Cost",St. Mary Clerk of Court,Cost,21452,21107,42559,less,Disbursements to governments & nonprofits,stmary,Parish Clerk of Court,stmary Cost,22101
2078,"Judicial Expense Fund, Cost",St. Judicial Expense Fund,Cost,27258,26241,53499,less,Disbursements to governments & nonprofits,stmary,Judicial Expense Funds,stmary Cost,22101
2079,"Judicial Expense Fund, Bond Fees",St. Judicial Expense Fund,Bond Fees,31546,39332,70878,less,Disbursements to governments & nonprofits,stmary,Judicial Expense Funds,stmary Bond Fees,22101
2080,"Louisiana Department of Public Safety, Cost",Louisiana Department of Public Safety,Cost,755,1390,2145,less,Disbursements to governments & nonprofits,stmary,Public Safety (Parish and/or State),stmary Cost,22101
